Configuration;Timestamp;LocationProtocol;LocationHostname;LocationPathname;ResourceID;ResourceContentType;ResourceURL;ResourceHost;ResourcePath;ResourceRequested;ResourceCompleted;ResourceFailed
test;1438002405705;http;www.wtf.nl;"/";181;"image/png";"https://fbstatic-a.akamaihd.net/rsrc.php/v2/y1/r/wL6VQj7Ab77.png";fbstatic-a.akamaihd.net;"/rsrc.php/v2/y1/r/wL6VQj7Ab77.png";1552;1578;0
test;1438002405705;http;www.wtf.nl;"/";182;"image/png";"https://fbstatic-a.akamaihd.net/rsrc.php/v2/yw/r/cux35wO47xp.png";fbstatic-a.akamaihd.net;"/rsrc.php/v2/yw/r/cux35wO47xp.png";1552;1578;0
test;1438002405705;http;www.wtf.nl;"/";183;"image/jpeg";"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpt1/v/t1.0-1/p50x50/11140333_1549575251965283_4971808397380109613_n.jpg?oh=3b981910f0af8e4126a987f89ea0f6c4&oe=5613475C&__gda__=1447105938_9e1a6384516f48e1d63c920e7775e628";fbcdn-profile-a.akamaihd.net;"/hprofile-ak-xpt1/v/t1.0-1/p50x50/11140333_1549575251965283_4971808397380109613_n.jpg";1552;1581;0
test;1438002405705;http;www.wtf.nl;"/";184;"image/jpeg";"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xft1/v/t1.0-1/p50x50/10171841_562188307229650_6755803660030531690_n.jpg?oh=8aac00ad2aae2df98378725363ed98dc&oe=560FA703&__gda__=1448150807_cde22ec29803762573714f5016768e06";fbcdn-profile-a.akamaihd.net;"/hprofile-ak-xft1/v/t1.0-1/p50x50/10171841_562188307229650_6755803660030531690_n.jpg";1552;1586;0
test;1438002405705;http;www.wtf.nl;"/";185;"image/jpeg";"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/p50x50/7075_10153331299217137_4762320721430980446_n.jpg?oh=84a2f7271b700af02cbed0d10aa2f455&oe=564951FC&__gda__=1444163769_af2a95c468b42aea2349c6cfb4f66709";fbcdn-profile-a.akamaihd.net;"/hprofile-ak-xpa1/v/t1.0-1/p50x50/7075_10153331299217137_4762320721430980446_n.jpg";1552;1584;0
test;1438002405705;http;www.wtf.nl;"/";186;"image/jpeg";"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xtf1/v/t1.0-1/p50x50/11745611_992428630791474_9047414838836276200_n.jpg?oh=0a240616dd2f25fbed3e57b5f1fd29ab&oe=5650890C&__gda__=1444288842_c1270da6340b4905c61ac14a5effa4f5";fbcdn-profile-a.akamaihd.net;"/hprofile-ak-xtf1/v/t1.0-1/p50x50/11745611_992428630791474_9047414838836276200_n.jpg";1553;1586;0
test;1438002405705;http;www.wtf.nl;"/";187;"image/jpeg";"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/p50x50/10398043_10204313940987325_2935566328254596050_n.jpg?oh=f512e1b312dcbd0a318c8e40db8c1fa9&oe=561163B2&__gda__=1447503321_cd57bf8d8c1c3ea2a90d9787f9c231bc";fbcdn-profile-a.akamaihd.net;"/hprofile-ak-xfp1/v/t1.0-1/p50x50/10398043_10204313940987325_2935566328254596050_n.jpg";1553;1623;0
test;1438002405705;http;www.wtf.nl;"/";188;"image/jpeg";"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p50x50/11049556_1453520311638243_8473663299745359222_n.jpg?oh=aed9728eabdf38dbd2987e65b01e2ef5&oe=5652C0D5&__gda__=1443899834_fb30289cabf1ebe47caa9ac5aac9dd4d";fbcdn-profile-a.akamaihd.net;"/hprofile-ak-xpf1/v/t1.0-1/p50x50/11049556_1453520311638243_8473663299745359222_n.jpg";1553;1586;0
test;1438002405705;http;www.wtf.nl;"/";189;"image/jpeg";"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xtp1/v/t1.0-1/p50x50/11401198_912719055437843_6723003094620902011_n.jpg?oh=e4e5f9bc09ca495cc798da4ad3dcc0c0&oe=5610B539&__gda__=1448130046_afe4081df0648d7b472cac556e36c050";fbcdn-profile-a.akamaihd.net;"/hprofile-ak-xtp1/v/t1.0-1/p50x50/11401198_912719055437843_6723003094620902011_n.jpg";1553;1591;0
test;1438002405705;http;www.wtf.nl;"/";190;"image/gif";"http://ad.360yield.com/match?external_user_id=1556709443401401023&publisher_dsp_id=40";ad.360yield.com;"/match";1556;1618;0
test;1438002405705;http;www.wtf.nl;"/";191;"image/gif";"http://ad.360yield.com/match?publisher_dsp_id=4&external_user_id=4287896902935074482";ad.360yield.com;"/match";1557;1618;0
test;1438002405705;http;www.wtf.nl;"/";193;"image/gif";"http://ad.360yield.com/match?expiration=1439212007&Expiration=1439212007&external_user_id=70c81820-0c64-44b2-951e-5dce591832dc&publisher_dsp_id=69";ad.360yield.com;"/match";1559;1623;0
