Configuration;Timestamp;LocationProtocol;LocationHostname;LocationPathname;CookieDomain;CookieName;CookieValue;CookieParty;CookiePartyCategory
deeplinks;1449670042830;http;www.nu.nl;"/auto";.scorecardresearch.com;"UID";"11123a14a90a11122a5b30c1449670043";ScoreCard Research;stats
deeplinks;1449670042830;http;www.nu.nl;"/auto";.nu.nl;"SanomaWeb";"g83iuux0df";Site-own;functional
deeplinks;1449670042830;http;www.nu.nl;"/auto";.nu.nl;"SanomaWebSession";"uq6we9886t";Site-own;functional
deeplinks;1449670042830;http;www.nu.nl;"/auto";.sanoma.fi;"SanomaWeb";"92faf065-61c1-4e94-9201-adaa5ddb3d75";Site-own;functional
deeplinks;1449670042830;http;www.nu.nl;"/auto";.www.nu.nl;"_gat";"1";Google Analytics;stats
deeplinks;1449670042830;http;www.nu.nl;"/auto";.www.nu.nl;"_ga";"GA1.3.141664850.1449670043";Google Analytics;stats
deeplinks;1449670048474;http;www.nu.nl;"/dieren";bam.nr-data.net;"JSESSIONID";"2eda33e32887b7c3";New Relic;ads
deeplinks;1449670048474;http;www.nu.nl;"/dieren";.xiti.com;"idrxvr";"6C5206C0-ABA6-4C70-AFAA-3D81B58BD820";AT Internet;stats
deeplinks;1449670048474;http;www.nu.nl;"/dieren";www.nu.nl;"consentBarViewCount";"1";Sanoma Consent Manager;functional
deeplinks;1449670048474;http;www.nu.nl;"/dieren";.scorecardresearch.com;"UIDR";"1449670048";ScoreCard Research;stats
deeplinks;1449670048474;http;www.nu.nl;"/dieren";.scorecardresearch.com;"UID";"16323a14a90a11122a5d7471449670048";ScoreCard Research;stats
deeplinks;1449670048474;http;www.nu.nl;"/dieren";.nu.nl;"SanomaWeb";"yhqoh0ygdb";Site-own;functional
deeplinks;1449670048474;http;www.nu.nl;"/dieren";.nu.nl;"SanomaWebSession";"b56kvig4z6";Site-own;functional
deeplinks;1449670048474;http;www.nu.nl;"/dieren";.sanoma.fi;"SanomaWeb";"458a005a-8f70-44f1-b8bd-16d002d5790d";Site-own;functional
